protein_id	locus_tag	gene_length
AQZ89385.1	B4U62_02780	195
AQZ89386.1	B4U62_02785	261
AQZ89387.1	B4U62_02790	261
AQZ89388.1	B4U62_02795	381
AQZ89389.1	B4U62_02800	1443
AQZ89390.1	B4U62_02805	1059
AQZ89391.1	B4U62_02810	270
AQZ89392.1	B4U62_02815	267
AQZ89393.1	B4U62_02820	309
AQZ89394.1	B4U62_02825	1065
AQZ89395.1	B4U62_02830	249
AQZ89396.1	B4U62_02835	525
AQZ89397.1	B4U62_02840	2394
AQZ89398.1	B4U62_02845	327
AQZ89399.1	B4U62_02850	2448
AQZ89400.1	B4U62_02855	990
AQZ89401.1	B4U62_02860	507
AQZ93011.1	B4U62_02865	381
AQZ89402.1	B4U62_02870	801
AQZ89403.1	B4U62_02875	1176
AQZ89404.1	B4U62_02880	120
AQZ89405.1	B4U62_02885	942
AQZ89406.1	B4U62_02890	1020
AQZ89407.1	B4U62_02895	411
AQZ89408.1	B4U62_02900	450
AQZ89409.1	B4U62_02905	543
AQZ89410.1	B4U62_02910	765
AQZ89411.1	B4U62_02915	1311
AQZ89412.1	B4U62_02920	177
AQZ89413.1	B4U62_02925	687
AQZ89414.1	B4U62_02930	186
AQZ89415.1	B4U62_02935	594
AQZ89416.1	B4U62_02940	201
AQZ93012.1	B4U62_02945	462
AQZ89417.2	B4U62_02955	237
AQZ89418.1	B4U62_02960	876
AQZ89419.1	B4U62_02965	960
AQZ89420.1	B4U62_02970	873
AQZ89421.1	B4U62_02975	1398
AQZ93013.1	B4U62_02980	1293
AQZ89422.1	B4U62_02985	447
AQZ89423.1	B4U62_02990	594
AQZ89424.1	B4U62_02995	660
AQZ89425.1	B4U62_03000	864
AQZ89426.1	B4U62_03005	1392
AQZ89427.1	B4U62_03010	426
AQZ89428.1	B4U62_03015	573
AQZ89429.1	B4U62_03020	330
AQZ89430.1	B4U62_03025	873
AQZ89431.1	B4U62_03030	387
AQZ89432.1	B4U62_03035	594
AQZ89433.1	B4U62_03040	1188
AQZ89434.1	B4U62_03045	597
AQZ89435.1	B4U62_03050	186
AQZ89436.1	B4U62_03055	336
AQZ89437.1	B4U62_03060	1308
AQZ93014.1	B4U62_03070	786
AQZ89438.1	B4U62_03075	921
AQZ89439.1	B4U62_03080	1449
AQZ89440.1	B4U62_03085	624
AQZ89441.1	B4U62_03090	681
AQZ89442.1	B4U62_03095	444
AQZ89443.1	B4U62_03100	180
AQZ89444.1	B4U62_03105	144
AQZ89445.1	B4U62_03110	1224
AQZ89446.1	B4U62_03115	642
AQZ89447.1	B4U62_03120	2175
AQZ89448.1	B4U62_03125	903
AQZ89449.1	B4U62_03130	690
AQZ89450.1	B4U62_03135	813
AQZ89451.1	B4U62_03140	894
AQZ89452.1	B4U62_03145	621
AQZ89453.1	B4U62_03150	939
AQZ89454.1	B4U62_03155	390
AQZ89455.1	B4U62_03160	339
AQZ89456.1	B4U62_03165	237
AQZ89457.1	B4U62_03170	231
AQZ89458.1	B4U62_03175	678
AQZ89459.1	B4U62_03180	708
AQZ89460.1	B4U62_03185	432
AQZ89461.1	B4U62_03190	243
AQZ89462.1	B4U62_03195	273
AQZ89463.1	B4U62_03200	588
AQZ89464.1	B4U62_03205	345
AQZ89465.1	B4U62_03210	474
AQZ89466.1	B4U62_03215	1644
AQZ89467.1	B4U62_03220	1377
AQZ89468.1	B4U62_03225	519
AQZ89469.1	B4U62_03230	459
AQZ89470.1	B4U62_03235	2658
AQZ89471.1	B4U62_03240	630
AQZ89472.1	B4U62_03245	495
AQZ89473.1	B4U62_03250	1209
AQZ89474.1	B4U62_03255	738
AQZ89475.1	B4U62_03260	675
AQZ89476.1	B4U62_03265	1263
AQZ89477.1	B4U62_03270	1188
AQZ89478.1	B4U62_03275	711
AQZ89479.1	B4U62_03280	1389
AQZ89480.1	B4U62_03285	372
AQZ89481.1	B4U62_03290	498
AQZ89482.1	B4U62_03295	483
AQZ89483.1	B4U62_03300	978
AQZ93015.1	B4U62_03305	618
AQZ89484.1	B4U62_03310	1167
AQZ89485.1	B4U62_03315	312
AQZ89486.1	B4U62_03320	333
AQZ89487.1	B4U62_03325	1329
AQZ89488.1	B4U62_03330	1398
AQZ89489.1	B4U62_03335	714
AQZ89490.1	B4U62_03340	900
AQZ89491.1	B4U62_03345	948
AQZ89492.1	B4U62_03350	1089
AQZ89493.1	B4U62_03395	978
AQZ89494.1	B4U62_03400	477
AQZ89495.1	B4U62_03405	690
AQZ89496.1	B4U62_03410	456
AQZ89497.1	B4U62_03415	1041
AQZ89498.1	B4U62_03420	1929
AQZ89499.1	B4U62_03425	513
AQZ89500.1	B4U62_03430	648
AQZ89501.1	B4U62_03435	174
AQZ89502.1	B4U62_03440	765
AQZ89503.1	B4U62_03445	192
AQZ89504.1	B4U62_03450	735
AQZ89505.1	B4U62_03455	285
AQZ89506.1	B4U62_03460	1635
AQZ89507.1	B4U62_03475	381
AQZ89508.1	B4U62_03480	273
AQZ89509.1	B4U62_03485	192
AQZ89510.1	B4U62_03490	1284
AQZ89511.1	B4U62_03495	1170
AQZ89512.1	B4U62_03505	942
AQZ89513.1	B4U62_03510	1032
AQZ89514.1	B4U62_03515	1398
AQZ89515.1	B4U62_03520	336
AQZ89516.1	B4U62_03530	351
AQZ89517.1	B4U62_03535	2490
AQZ89518.1	B4U62_03540	1062
AQZ89519.1	B4U62_03545	1392
AQZ89520.1	B4U62_03550	963
AQZ89521.1	B4U62_03555	684
AQZ89522.1	B4U62_03560	1026
AQZ89523.1	B4U62_03565	765
AQZ89524.1	B4U62_03570	972
AQZ89525.1	B4U62_03575	1026
AQZ89526.1	B4U62_03580	1422
AQZ89527.1	B4U62_03585	1041
AQZ89528.1	B4U62_03590	372
AQZ89529.1	B4U62_03595	1047
AQZ89530.1	B4U62_03600	159
AQZ89531.1	B4U62_03605	210
AQZ89532.1	B4U62_03610	816
AQZ89533.1	B4U62_03615	990
AQZ89534.1	B4U62_03620	1542
AQZ89535.1	B4U62_03625	1410
AQZ89536.1	B4U62_03630	288
AQZ89537.1	B4U62_03635	873
AQZ89538.1	B4U62_03640	963
AQZ89539.1	B4U62_03645	1197
AQZ89540.1	B4U62_03650	2214
AQZ93016.1	B4U62_03655	1542
AQZ89541.1	B4U62_03660	1323
AQZ89542.1	B4U62_03665	804
AQZ89543.1	B4U62_03670	168
AQZ89544.1	B4U62_03675	555
AQZ89545.1	B4U62_03680	198
AQZ89546.1	B4U62_03685	489
AQZ89547.1	B4U62_03690	1143
AQZ89548.1	B4U62_03695	1296
AQZ89549.1	B4U62_03700	726
AQZ89550.1	B4U62_03705	255
AQZ89551.1	B4U62_03710	684
AQZ89552.1	B4U62_03715	2229
AQZ89553.1	B4U62_03720	1431
AQZ89554.1	B4U62_03725	1041
AQZ89555.1	B4U62_03730	588
AQZ89556.1	B4U62_03735	1539
AQZ89557.1	B4U62_03740	1269
AQZ89558.1	B4U62_03745	420
AQZ89559.1	B4U62_03750	1275
AQZ89560.1	B4U62_03755	228
AQZ89561.1	B4U62_03760	1743
AQZ89562.1	B4U62_03765	996
AQZ89563.1	B4U62_03770	315
AQZ89564.1	B4U62_03775	1578
AQZ89565.1	B4U62_03780	687
AQZ89566.1	B4U62_03785	2220
AQZ89567.1	B4U62_03790	2007
AQZ89568.1	B4U62_03800	1011
AQZ89569.1	B4U62_03810	1479
AQZ89570.1	B4U62_03815	291
AQZ89571.1	B4U62_03820	1458
AQZ89572.1	B4U62_03825	1431
AQZ89573.1	B4U62_03830	870
AQZ89574.1	B4U62_03835	3198
AQZ89575.1	B4U62_03840	912
AQZ89576.1	B4U62_03845	1380
AQZ89577.2	B4U62_03850	903
AQZ89578.1	B4U62_03855	336
AQZ89579.1	B4U62_03860	2640
AQZ89580.1	B4U62_03865	1800
AQZ89581.1	B4U62_03870	1149
AQZ89582.1	B4U62_03875	306
AQZ89583.1	B4U62_03880	207
AQZ93017.1	B4U62_03885	456
AQZ89584.1	B4U62_03890	2010
AQZ89585.1	B4U62_03895	1023
AQZ89586.1	B4U62_03900	1131
AQZ89587.1	B4U62_03905	174
AQZ89588.1	B4U62_03910	720
AQZ89589.1	B4U62_03915	438
AQZ89590.1	B4U62_03920	585
AQZ89591.1	B4U62_03925	444
AQZ89592.1	B4U62_03930	861
AQZ89593.1	B4U62_03935	249
AQZ89594.1	B4U62_03940	264
AQZ89595.1	B4U62_03945	570
AQZ89596.1	B4U62_03950	543
AQZ89597.1	B4U62_03955	303
AQZ89598.1	B4U62_03960	630
AQZ89599.1	B4U62_03965	1734
AQZ89600.1	B4U62_03970	1107
AQZ89601.1	B4U62_03975	1284
AQZ89602.1	B4U62_03980	930
AQZ89603.1	B4U62_03985	891
AQZ89604.1	B4U62_03990	1035
AQZ89605.1	B4U62_03995	2286
AQZ89606.1	B4U62_04000	699
AQZ89607.1	B4U62_04005	663
