LC	quant	sample	hit	total	p_value	p_adj	log_odds
Cellular processes#Homeostasis#Trace metal homeostasis (Cu, Zn, Ni, Mn, Mo)	6	1847	25	8186	0.5090081322497908	1.0	0.12
Cellular processes#Transporters#ECF transporter	3	1847	12	8186	0.5305353793974478	1.0	0.19
Groups of genes#GTP-binding proteins	1	1847	11	8186	0.9400777528378516	1.0	-1.54
Groups of genes#Phosphoproteins#Phosphorylation on a Thr residue	5	1847	26	8186	0.7304837480074671	1.0	-0.29
Groups of genes#Phosphoproteins#Phosphorylation on an Asp residue	4	1847	35	8186	0.9712266449644625	1.0	-1.18
Groups of genes#Poorly characterized/ putative enzymes	40	1847	204	8186	0.8667846800412702	1.0	-0.26
Groups of genes#Proteins of unknown function	101	1847	708	8186	0.9999999973718108	1.0	-0.87
Groups of genes#Pseudogenes	1	1847	13	8186	0.9640970609491769	1.0	-1.81
Information processing#Genetics#DNA repair/ recombination/ based on similarity	1	1847	17	8186	0.9871166846270953	1.0	-2.22
Information processing#Genetics#DNA replication	7	1847	28	8186	0.4506703159050776	1.0	0.19
Information processing#Genetics#Genetics/ other/ based on similarity	1	1847	9	8186	0.9000036457487558	1.0	-1.22
Information processing#Genetics#Newly identified competence genes	4	1847	25	8186	0.8486664388968728	1.0	-0.61
Information processing#Protein synthesis, modification and degradation#Chaperones/ protein folding	1	1847	12	8186	0.953616149235993	1.0	-1.68
Information processing#Protein synthesis, modification and degradation#Protein modification	23	1847	99	8186	0.4756763291583291	1.0	0.06
Information processing#Protein synthesis, modification and degradation#Protein secretion	9	1847	48	8186	0.7868668844387251	1.0	-0.34
Information processing#Protein synthesis, modification and degradation#Proteolysis	10	1847	46	8186	0.6105408329773983	1.0	-0.07
Information processing#RNA synthesis and degradation#RNA chaperones	1	1847	6	8186	0.7844926548636142	1.0	-0.54
Information processing#RNA synthesis and degradation#RNases	3	1847	23	8186	0.9188391339752323	1.0	-0.96
Information processing#RNA synthesis and degradation#Transcription	6	1847	34	8186	0.8119745667373421	1.0	-0.45
Information processing#Regulation of gene expression#RNA binding regulators	2	1847	11	8186	0.747718723657477	1.0	-0.39
Information processing#Regulation of gene expression#Sigma factors and their control	10	1847	67	8186	0.9560413227673674	1.0	-0.74
Information processing#Regulation of gene expression#Transcription factors and their control	59	1847	355	8186	0.9980786762833818	1.0	-0.57
Information processing#Regulation of gene expression#Trigger enzyme	4	1847	15	8186	0.4486531598376511	1.0	0.32
Information processing#Targets of second messengers#Targets of (p)ppGpp	2	1847	10	8186	0.696721342084409	1.0	-0.22
Information processing#Targets of second messengers#Targets of c-di-AMP	2	1847	9	8186	0.6374480625912283	1.0	-0.03
Lifestyles#Coping with stress#Acid stress proteins (controlled by YvrI-YvrHa)	1	1847	5	8186	0.721650522480276	1.0	-0.22
Lifestyles#Coping with stress#Coping with hyper-osmotic stress	2	1847	27	8186	0.9911784391033549	1.0	-1.87
Lifestyles#Coping with stress#General stress proteins (controlled by SigB)	30	1847	159	8186	0.8908491033179615	1.0	-0.33
Lifestyles#Coping with stress#Heat shock proteins	4	1847	27	8186	0.8889585114184031	1.0	-0.75
Lifestyles#Coping with stress#Resistance against other toxic compounds (nitric oxide, phenolic acids, flavonoids, oxalate)	4	1847	18	8186	0.605027765294891	1.0	-0.03
Lifestyles#Coping with stress#Resistance against toxic metals	4	1847	16	8186	0.5035331943780357	1.0	0.19
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins	5	1847	33	8186	0.895429805826919	1.0	-0.71
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins/ based on similarity	1	1847	18	8186	0.9900295850524282	1.0	-2.31
Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation	13	1847	70	8186	0.8273456651940904	1.0	-0.36
Lifestyles#Exponential and early post-exponential lifestyles#Motility and chemotaxis	14	1847	76	8186	0.8429995504226206	1.0	-0.37
Lifestyles#Lifestyles/ miscellaneous	1	1847	3	8186	0.5356978988861366	1.0	0.78
Lifestyles#Sporulation#Germination	3	1847	40	8186	0.9971981995970469	1.0	-1.85
Lifestyles#Sporulation#Sporulation proteins	23	1847	541	8186	1.0	1.0	-2.82
Metabolism#Additional metabolic pathways#Biosynthesis of cell wall components	6	1847	74	8186	0.9997462246830826	1.0	-1.73
Metabolism#Additional metabolic pathways#Phosphate metabolism	3	1847	17	8186	0.7737403871843586	1.0	-0.44
Metabolism#Additional metabolic pathways#Sulfur metabolism	1	1847	30	8186	0.9995410900578482	1.0	-3.08
Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids	15	1847	158	8186	0.9999956971658954	1.0	-1.50
Metabolism#Electron transport and ATP synthesis#ATP synthesis	2	1847	13	8186	0.8278452086224373	1.0	-0.68
Metabolism#Electron transport and ATP synthesis#Electron transport/ other/ based on similarity	2	1847	18	8186	0.9375973775284532	1.0	-1.22
Metabolism#Electron transport and ATP synthesis#Regulators of electron transport	1	1847	5	8186	0.721650522480276	1.0	-0.22
Metabolism#Lipid metabolism#Biosynthesis of lipids	1	1847	47	8186	0.9999941947756313	1.0	-3.75
Metabolism#Lipid metabolism#Lipid metabolism/ other	2	1847	12	8186	0.7911553925120183	1.0	-0.54
Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides	7	1847	65	8186	0.9956402685009591	1.0	-1.28
Metabolism#Nucleotide metabolism#Metabolism of signalling nucleotides	3	1847	17	8186	0.7737403871843586	1.0	-0.44
Metabolism#Nucleotide metabolism#Nucleotide metabolism/ other	2	1847	8	8186	0.5694088113065096	1.0	0.19
Prophages and mobile genetic elements#Mobile genetic elements#Additional genes	1	1847	2	8186	0.40037109113364683	1.0	1.78
Prophages and mobile genetic elements#Mobile genetic elements#ICEBs1	5	1847	25	8186	0.6960091200752885	1.0	-0.22
Prophages and mobile genetic elements#Prophages#Prophage 1	5	1847	18	8186	0.38368747494052136	1.0	0.40
Prophages and mobile genetic elements#Prophages#Prophage 3	1	1847	10	8186	0.9225905683645147	1.0	-1.39
Prophages and mobile genetic elements#Prophages#SP-beta prophage	38	1847	181	8186	0.7224358997894058	1.0	-0.14
Prophages and mobile genetic elements#Prophages#Skin element	10	1847	60	8186	0.8982716329411777	1.0	-0.55
no_annotation	35	1847	151	8186	0.4595020675028452	1.0	0.05

6H	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Exponential and early post-exponential lifestyles#Motility and chemotaxis	62	1786	76	8186	1.1319914592713156e-28	1.3043057147381714e-26	4.04
Information processing#Protein synthesis, modification and degradation#Translation	105	1786	207	8186	1.9151827305270042e-20	1.4186032082546452e-18	1.95
Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids	79	1786	158	8186	3.2461847554954726e-15	1.8701631063604473e-13	1.89
Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides	42	1786	65	8186	1.1966386163057527e-13	6.531127605837186e-12	2.74
Prophages and mobile genetic elements#Prophages#PBSX prophage	29	1786	41	8186	2.691896995373055e-11	1.3292843734294563e-09	3.14
Groups of genes#Essential genes	101	1786	257	8186	8.9725949152873e-11	4.045469968327361e-09	1.26
Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation	34	1786	70	8186	6.289119112719227e-07	1.8116156999693998e-05	1.78
Lifestyles#Exponential and early post-exponential lifestyles#Swarming	12	1786	16	8186	8.428696375851341e-06	0.0002081085271847105	3.44
Groups of genes#Universally conserved proteins	16	1786	28	8186	5.001826725995506e-05	0.001037378862971468	2.27
Information processing#Protein synthesis, modification and degradation#Chaperones/ protein folding	9	1786	12	8186	0.00012648690344527842	0.002186115314545895	3.43
Metabolism#Detoxification reactions	8	1786	12	8186	0.001067928934406733	0.014372562213919393	2.85
Lifestyles#Coping with stress#Biosynthesis of antibacterial compounds	21	1786	51	8186	0.0014113460262066733	0.01784836377044293	1.34
Metabolism#Additional metabolic pathways#Biosynthesis of cofactors	37	1786	116	8186	0.007280457640743862	0.06863485975864896	0.76
Metabolism#Nucleotide metabolism#Utilization of nucleotides	10	1786	21	8186	0.007739316341306721	0.0723033427561718	1.71
Metabolism#Additional metabolic pathways#Miscellaneous metabolic pathways	26	1786	77	8186	0.010290423539657378	0.08967369084558571	0.88
Information processing#Genetics#Newly identified competence genes	11	1786	25	8186	0.010826683368661176	0.09127862319757431	1.50
Groups of genes#Secreted proteins	36	1786	116	8186	0.012739782523411413	0.10568923581422109	0.70
Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue	35	1786	113	8186	0.01434824357668453	0.11624319210173326	0.70
Groups of genes#Phosphoproteins#Phosphorylation on either a Ser, Thr or Tyr residue	15	1786	40	8186	0.017298867396302632	0.13288092955530245	1.11
Cellular processes#Transporters#Transporters/ other	48	1786	174	8186	0.04106177462760537	0.26284605116559734	0.46
Groups of genes#Phosphoproteins#Phosphorylation on a Ser residue	21	1786	67	8186	0.04440821638018633	0.27575640949852226	0.72
Information processing#Regulation of gene expression#Regulators of core metabolism	4	1786	8	8186	0.07439170637726268	0.4215530028044885	1.84
Cellular processes#Cell envelope and cell division#Cell wall synthesis	27	1786	97	8186	0.09580763030341821	0.5095000647417677	0.47
Metabolism#Carbon metabolism#Carbon core metabolism	16	1786	53	8186	0.09749339952953628	0.5158196699598424	0.64
Metabolism#Additional metabolic pathways#Sulfur metabolism	10	1786	30	8186	0.09899494418611848	0.5211053660964714	0.84
Metabolism#Additional metabolic pathways#Biosynthesis of cell wall components	21	1786	74	8186	0.11111677948169943	0.5628064763083381	0.51
Information processing#RNA synthesis and degradation#RNA chaperones	3	1786	6	8186	0.12238852291627934	0.604366182210389	1.84
Groups of genes#Phosphoproteins#Phosphorylation on a Tyr residue	7	1786	20	8186	0.12547358684952187	0.61622987077663	0.95
Cellular processes#Cell envelope and cell division#Capsule biosynthesis and degradation	4	1786	10	8186	0.1548963902730859	0.6692814863049587	1.26
Metabolism#Electron transport and ATP synthesis#Electron transport/ other/ based on similarity	6	1786	18	8186	0.18112892422048693	0.6982553695786058	0.84
Prophages and mobile genetic elements#Prophages#Prophage 1	6	1786	18	8186	0.18112892422048693	0.6982553695786058	0.84
Groups of genes#Phosphoproteins#Phosphorylation on a Thr residue	8	1786	26	8186	0.18910987833724752	0.7054206612795888	0.67
Cellular processes#Cell envelope and cell division#Cell shape	4	1786	11	8186	0.20344887477834145	0.7275643112992738	1.04
Groups of genes#GTP-binding proteins	4	1786	11	8186	0.20344887477834145	0.7275643112992738	1.04
Information processing#Regulation of gene expression#Trigger enzyme	5	1786	15	8186	0.21398482066410957	0.7462413133467598	0.84
Groups of genes#Proteins of unknown function	163	1786	708	8186	0.22135915217419153	0.762622726925703	0.11
Information processing#Protein synthesis, modification and degradation#Protein secretion	13	1786	48	8186	0.23371755499214872	0.7815622231956985	0.42
Information processing#Regulation of gene expression#Transition state regulators	3	1786	8	8186	0.24430826442728293	0.7941933235457441	1.11
Lifestyles#Coping with stress#Coping with hypo-osmotic stress	2	1786	5	8186	0.3002975078718157	0.905257312974049	1.26
Information processing#Genetics#DNA repair/ recombination/ based on similarity	5	1786	17	8186	0.30598185586019233	0.9170612269567037	0.58
Cellular processes#Cell envelope and cell division#Cell division	4	1786	37	8186	0.9745025576160715	1.0	-1.21
Cellular processes#Cell envelope and cell division#Cell wall degradation/ turnover	8	1786	39	8186	0.6404655157664848	1.0	-0.11
Cellular processes#Cell envelope and cell division#Cell wall/ other	2	1786	21	8186	0.961125643860562	1.0	-1.41
Cellular processes#Cell envelope and cell division#Cell wall/ other/ based on similarity	2	1786	6	8186	0.3892520003522883	1.0	0.84
Cellular processes#Cell envelope and cell division#Membrane dynamics	1	1786	6	8186	0.7717413676742093	1.0	-0.48
Cellular processes#Homeostasis#Metal ion homeostasis (K, Na, Ca, Mg)	1	1786	34	8186	0.9997723077247891	1.0	-3.21
Cellular processes#Homeostasis#Trace metal homeostasis (Cu, Zn, Ni, Mn, Mo)	3	1786	25	8186	0.9336397094289932	1.0	-1.04
Cellular processes#Transporters#ABC transporters	27	1786	196	8186	0.9985877051081262	1.0	-0.82
Cellular processes#Transporters#ECF transporter	2	1786	12	8186	0.7733997078704385	1.0	-0.48
Cellular processes#Transporters#Phosphotransferase system	4	1786	26	8186	0.8506568458660797	1.0	-0.62
Groups of genes#Efp-dependent proteins	3	1786	34	8186	0.9875570557510516	1.0	-1.53
Groups of genes#Membrane proteins	213	1786	1076	8186	0.9620664949729608	1.0	-0.20
Groups of genes#Phosphoproteins#Phosphorylation on a Cys residue	2	1786	15	8186	0.8709785337653946	1.0	-0.86
Groups of genes#Phosphoproteins#Phosphorylation on a His residue	6	1786	56	8186	0.9904439610887449	1.0	-1.22
Groups of genes#Phosphoproteins#Phosphorylation on an Asp residue	8	1786	35	8186	0.5067162439361184	1.0	0.09
Groups of genes#Poorly characterized/ putative enzymes	31	1786	204	8186	0.9936677227497065	1.0	-0.65
Groups of genes#Pseudogenes	1	1786	13	8186	0.9593321801168634	1.0	-1.75
Groups of genes#Short peptides	2	1786	9	8186	0.6168845347131203	1.0	0.03
Information processing#Genetics#DNA condensation/ segregation	3	1786	17	8186	0.7514171058599577	1.0	-0.38
Information processing#Genetics#DNA repair/ recombination	5	1786	71	8186	0.9998196043859697	1.0	-1.89
Information processing#Genetics#DNA replication	6	1786	28	8186	0.5937937299754752	1.0	-0.03
Information processing#Genetics#DNA restriction/ modification	1	1786	7	8186	0.8215787658846058	1.0	-0.74
Information processing#Genetics#Genetic competence	13	1786	57	8186	0.4797998358193388	1.0	0.08
Information processing#Genetics#Genetics/ other/ based on similarity	2	1786	9	8186	0.6168845347131203	1.0	0.03
Information processing#Protein synthesis, modification and degradation#Protein modification	17	1786	99	8186	0.8968304311922991	1.0	-0.43
Information processing#Protein synthesis, modification and degradation#Proteolysis	2	1786	46	8186	0.9998372683336672	1.0	-2.63
Information processing#RNA synthesis and degradation#DEAD-box RNA helicases	1	1786	4	8186	0.6264540133974592	1.0	0.26
Information processing#RNA synthesis and degradation#RNases	6	1786	23	8186	0.3866880238148284	1.0	0.34
Information processing#RNA synthesis and degradation#Transcription	7	1786	34	8186	0.6356186300233062	1.0	-0.11
Information processing#Regulation of gene expression#Quorum sensing	5	1786	22	8186	0.5419706544977305	1.0	0.08
Information processing#Regulation of gene expression#RNA binding regulators	3	1786	11	8186	0.44281766108104076	1.0	0.43
Information processing#Regulation of gene expression#Sigma factors and their control	7	1786	67	8186	0.9953499399725473	1.0	-1.27
Information processing#Regulation of gene expression#Transcription factors and their control	55	1786	355	8186	0.999107398712055	1.0	-0.63
Information processing#Regulation of gene expression#phosphorelay	9	1786	44	8186	0.6452284665612071	1.0	-0.12
Information processing#Targets of second messengers#Targets of (p)ppGpp	1	1786	10	8186	0.9148047238186973	1.0	-1.33
Information processing#Targets of second messengers#Targets of c-di-GMP	1	1786	3	8186	0.5221624498450679	1.0	0.84
Lifestyles#Coping with stress#Biosynthesis of antibacterial compounds/ based on similarity	1	1786	2	8186	0.38877422469226947	1.0	1.84
Lifestyles#Coping with stress#Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	23	1786	131	8186	0.9053118535262427	1.0	-0.40
Lifestyles#Coping with stress#Cold stress proteins	4	1786	16	8186	0.4743194142161508	1.0	0.26
Lifestyles#Coping with stress#Coping with hyper-osmotic stress	1	1786	27	8186	0.9987155628107183	1.0	-2.86
Lifestyles#Coping with stress#Heat shock proteins	7	1786	27	8186	0.37293982809429066	1.0	0.33
Lifestyles#Coping with stress#Resistance against other toxic compounds (nitric oxide, phenolic acids, flavonoids, oxalate)	1	1786	18	8186	0.988151064765846	1.0	-2.25
Lifestyles#Coping with stress#Resistance against oxidative and electrophile stress	13	1786	100	8186	0.9915936233013167	1.0	-0.91
Lifestyles#Coping with stress#Resistance against toxic metals	3	1786	16	8186	0.7116580141198255	1.0	-0.27
Lifestyles#Coping with stress#Resistance against toxic metals/ based on similarity	1	1786	6	8186	0.7717413676742093	1.0	-0.48
Lifestyles#Coping with stress#Resistance against toxins/ antibiotics	10	1786	58	8186	0.8432672133153148	1.0	-0.42
Lifestyles#Coping with stress#Resistance against toxins/ antibiotics/ based on similarity	8	1786	42	8186	0.7258298117356494	1.0	-0.25
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins	3	1786	33	8186	0.9849092408866713	1.0	-1.48
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins/ based on similarity	2	1786	18	8186	0.9284738643331858	1.0	-1.16
Lifestyles#Exponential and early post-exponential lifestyles#Genetic competence	13	1786	57	8186	0.4797998358193388	1.0	0.08
Lifestyles#Lifestyles/ miscellaneous	1	1786	3	8186	0.5221624498450679	1.0	0.84
Lifestyles#Sporulation#Germination	2	1786	40	8186	0.9993687540975034	1.0	-2.41
Lifestyles#Sporulation#Sporulation proteins	8	1786	541	8186	1.0	1.0	-4.34
Lifestyles#Sporulation#Sporulation/ other	5	1786	19	8186	0.40228041233987666	1.0	0.36
Lifestyles#Sporulation#phosphorelay	9	1786	44	8186	0.6452284665612071	1.0	-0.12
Metabolism#Additional metabolic pathways#Iron metabolism	1	1786	53	8186	0.9999979382724926	1.0	-3.87
Metabolism#Additional metabolic pathways#Phosphate metabolism	2	1786	17	8186	0.912714808290895	1.0	-1.07
Metabolism#Amino acid/ nitrogen metabolism#Putative amino acid transporter	1	1786	3	8186	0.5221624498450679	1.0	0.84
Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids	12	1786	75	8186	0.9183062073927838	1.0	-0.56
Metabolism#Amino acid/ nitrogen metabolism#Utilization of nitrogen sources other than amino acids	4	1786	54	8186	0.9989044440979504	1.0	-1.81
Metabolism#Carbon metabolism#Utilization of specific carbon sources	18	1786	240	8186	0.9999999996804221	1.0	-1.82
Metabolism#Electron transport and ATP synthesis#ATP synthesis	3	1786	13	8186	0.5637391648181509	1.0	0.10
Metabolism#Electron transport and ATP synthesis#Electron transport/ other	3	1786	18	8186	0.7866423600148189	1.0	-0.48
Metabolism#Electron transport and ATP synthesis#Respiration	3	1786	37	8186	0.9930827920883171	1.0	-1.67
Metabolism#Lipid metabolism#Biosynthesis of lipids	9	1786	47	8186	0.725701970422451	1.0	-0.24
Metabolism#Lipid metabolism#Utilization of lipids	5	1786	32	8186	0.8583214922035669	1.0	-0.59
Metabolism#Nucleotide metabolism#Metabolism of signalling nucleotides	3	1786	17	8186	0.7514171058599577	1.0	-0.38
Metabolism#Nucleotide metabolism#Nucleotide metabolism/ other	1	1786	8	8186	0.8605395586619019	1.0	-0.97
Prophages and mobile genetic elements#Mobile genetic elements#ICEBs1	6	1786	25	8186	0.4727357883344813	1.0	0.18
Prophages and mobile genetic elements#Prophages#Prophage 3	2	1786	10	8186	0.6767218521811434	1.0	-0.16
Prophages and mobile genetic elements#Prophages#SP-beta prophage	24	1786	181	8186	0.9989134494340025	1.0	-0.88
Prophages and mobile genetic elements#Prophages#Skin element	9	1786	60	8186	0.9305783500875435	1.0	-0.67
no_annotation	33	1786	151	8186	0.5280812194749259	1.0	0.00

12H	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Exponential and early post-exponential lifestyles#Motility and chemotaxis	53	1129	76	8186	5.974679844217634e-29	7.744678748067108e-27	3.91
Prophages and mobile genetic elements#Prophages#PBSX prophage	33	1129	41	8186	8.413967449226576e-22	7.639411211365545e-20	4.73
Metabolism#Additional metabolic pathways#Sulfur metabolism	21	1129	30	8186	2.9904310994610293e-12	1.5505385250705437e-10	3.89
Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation	30	1129	70	8186	2.300496206481528e-09	8.835609504153128e-08	2.26
Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids	49	1129	158	8186	1.4330445552239068e-08	4.793765173442553e-07	1.53
Groups of genes#Secreted proteins	38	1129	116	8186	1.2377642608718533e-07	4.01112980788785e-06	1.64
Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides	21	1129	65	8186	0.00010234117353244857	0.0018115948833913548	1.59
Cellular processes#Homeostasis#Acquisition of iron	16	1129	44	8186	0.0001434195131034028	0.0024381317227578476	1.85
Metabolism#Carbon metabolism#Carbon core metabolism	18	1129	53	8186	0.0001547623226673256	0.0025497541230533574	1.70
Groups of genes#Phosphoproteins#Phosphorylation on either a Ser, Thr or Tyr residue	13	1129	40	8186	0.001978378870972843	0.023581366542515383	1.60
Metabolism#Detoxification reactions	6	1129	12	8186	0.0029826249370340932	0.033257871609724245	2.65
Metabolism#Additional metabolic pathways#Iron metabolism	15	1129	53	8186	0.004214762477702243	0.04459906825895128	1.31
Metabolism#Electron transport and ATP synthesis#Respiration	11	1129	37	8186	0.009089716667044131	0.08125893261831693	1.41
Information processing#Genetics#Newly identified competence genes	8	1129	25	8186	0.015756519719188206	0.12380571938832505	1.56
Information processing#Regulation of gene expression#Transition state regulators	4	1129	8	8186	0.015878650606217196	0.12380571938832505	2.65
Lifestyles#Exponential and early post-exponential lifestyles#Swarming	6	1129	16	8186	0.01584960087239174	0.12380571938832505	1.91
Lifestyles#Coping with stress#Biosynthesis of antibacterial compounds	13	1129	51	8186	0.018434101872399973	0.13953404118013704	1.11
Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue	24	1129	113	8186	0.018838684234785543	0.14116577359497215	0.77
Prophages and mobile genetic elements#Prophages#SP-beta prophage	35	1129	181	8186	0.022277816313658362	0.16178706512555824	0.60
