LC	quant	sample	hit	total	p_value	p_adj	log_odds
Cellular processes#Homeostasis#Acquisition of iron	23	1199	44	8186	4.840285848565098e-09	1.7308194568834506e-07	2.70
Metabolism#Additional metabolic pathways#Iron metabolism	22	1199	53	8186	1.7755147223059617e-06	4.721048120593031e-05	2.07
Lifestyles#Sporulation#Germination	17	1199	40	8186	1.8335895857275986e-05	0.0004225405334221155	2.12
Metabolism#Additional metabolic pathways#Miscellaneous metabolic pathways	26	1199	77	8186	1.9376169937276818e-05	0.00043427835221782936	1.59
no_annotation	40	1199	151	8186	9.250606141257972e-05	0.0017079373584217824	1.10
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins	14	1199	33	8186	0.00010307048999044352	0.0018115948833913548	2.12
Prophages and mobile genetic elements#Prophages#Prophage 1	8	1199	18	8186	0.002299971311543071	0.026594684135497475	2.23
Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides	18	1199	65	8186	0.004566806654178024	0.047357785003826106	1.17

3D	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Sporulation#Sporulation proteins	381	1523	541	8186	1.4964281815604036e-167	5.172653414260461e-165	3.76
Lifestyles#Sporulation#Germination	31	1523	40	8186	8.401239572279112e-16	5.1247561390902584e-14	3.94
Lifestyles#Sporulation#Germination/ based on similarity	8	1523	8	8186	1.4142093676140317e-06	3.8593029321467124e-05	nan
Lifestyles#Coping with stress#General stress proteins (controlled by SigB)	50	1523	159	8186	5.887221564924517e-05	0.0011740478390051393	1.03
Information processing#Regulation of gene expression#Sigma factors and their control	26	1523	67	8186	8.392432598417454e-05	0.0015823550190107092	1.49
Metabolism#Additional metabolic pathways#Miscellaneous metabolic pathways	27	1523	77	8186	0.00043856491043115	0.006497025887387179	1.26
Prophages and mobile genetic elements#Prophages#Prophage 1	9	1523	18	8186	0.0025062226604208463	0.028559921965455138	2.14
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins	13	1523	33	8186	0.00426299968691464	0.044653845205358395	1.52

5D	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Sporulation#Sporulation proteins	398	1395	541	8186	6.014764267504066e-204	6.2373105454017164e-201	4.21
Lifestyles#Sporulation#Germination	34	1395	40	8186	7.045583498522426e-21	5.620207759975197e-19	4.82
Cellular processes#Homeostasis#Trace metal homeostasis (Cu, Zn, Ni, Mn, Mo)	11	1395	25	8186	0.0014637919332333583	0.018288581141722802	1.94
Metabolism#Additional metabolic pathways#Phosphate metabolism	8	1395	17	8186	0.003963888732837226	0.042376831092290755	2.12

7D	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Sporulation#Sporulation proteins	403	1636	541	8186	4.360294622537296e-180	2.2608127617855878e-177	3.92
Lifestyles#Sporulation#Germination	34	1636	40	8186	1.3687426067443734e-18	8.871163019961969e-17	4.53
Metabolism#Carbon metabolism#Utilization of specific carbon sources	75	1636	240	8186	1.8172149232294512e-05	0.0004225405334221155	0.89
Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids	30	1636	75	8186	5.117455461584666e-05	0.001040549277188882	1.43
Cellular processes#Cell envelope and cell division#Cell wall/ other	11	1636	21	8186	0.0009479769649328811	0.013284488008586457	2.15

14D	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Sporulation#Sporulation proteins	377	2584	541	8186	2.1552161865502283e-79	4.469918370905173e-77	2.50
Metabolism#Carbon metabolism#Utilization of specific carbon sources	161	2584	240	8186	2.128036208210428e-30	3.1525336398774486e-28	2.22
Lifestyles#Sporulation#Germination	32	2584	40	8186	3.5373921975099527e-10	1.4673102835271284e-08	3.13
Lifestyles#Coping with stress#General stress proteins (controlled by SigB)	86	2584	159	8186	2.4575849894967696e-09	9.101841550386251e-08	1.38
Groups of genes#Membrane proteins	421	2584	1076	8186	1.0426385663042815e-08	3.604053977525133e-07	0.56
Metabolism#Amino acid/ nitrogen metabolism#Utilization of nitrogen sources other than amino acids	35	2584	54	8186	4.850229476778168e-07	1.479319990417341e-05	2.01
Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids	44	2584	75	8186	1.0592035783978527e-06	2.968632731888036e-05	1.64
Cellular processes#Transporters#Transporters/ other	83	2584	174	8186	5.224100344674744e-06	0.0001321315135957978	1.01
Cellular processes#Transporters#Phosphotransferase system	19	2584	26	8186	1.6228815939020828e-05	0.0003913786541573162	2.57
Groups of genes#Efp-dependent proteins	22	2584	34	8186	6.996998194198352e-05	0.0013690353070535265	2.00
Cellular processes#Transporters#ABC transporters	87	2584	196	8186	9.387890976860326e-05	0.0017079373584217824	0.81
Groups of genes#Phosphoproteins#Phosphorylation on a Cys residue	12	2584	15	8186	0.00015676938064901233	0.0025497541230533574	3.12
Prophages and mobile genetic elements#Prophages#PBSX prophage	23	2584	41	8186	0.000966363426275896	0.013361584973974723	1.48
Metabolism#Nucleotide metabolism#Utilization of nucleotides	14	2584	21	8186	0.0009884135876424439	0.013486643294542293	2.12
Metabolism#Additional metabolic pathways#Phosphate metabolism	12	2584	17	8186	0.001081060610111584	0.014372562213919393	2.38
Lifestyles#Sporulation#Germination/ based on similarity	7	2584	8	8186	0.0017994564651768767	0.0219533688751579	3.93
Groups of genes#Poorly characterized/ putative enzymes	83	2584	204	8186	0.0033352506087555803	0.03640689348715302	0.59

1M	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Coping with stress#General stress proteins (controlled by SigB)	44	406	159	8186	8.840205837645762e-22	7.639411211365545e-20	3.02
Metabolism#Carbon metabolism#Utilization of specific carbon sources	28	406	240	8186	1.9682818277953692e-05	0.00043427835221782936	1.40
Lifestyles#Coping with stress#Resistance against oxidative and electrophile stress	14	406	100	8186	0.00038657247875802613	0.005809792180754682	1.68
Prophages and mobile genetic elements#Prophages#Skin element	10	406	60	8186	0.0006542604990002969	0.009423168575879276	1.96
Lifestyles#Sporulation#Sporulation proteins	42	406	541	8186	0.002308121091798238	0.026594684135497475	0.75

2M	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Sporulation#Sporulation proteins	39	105	541	8186	4.19584661075169e-20	2.900728623566335e-18	3.16
Prophages and mobile genetic elements#Mobile genetic elements#ICEBs1	6	105	25	8186	5.605415030025783e-07	1.6608043960390677e-05	4.68
Cellular processes#Transporters#Phosphotransferase system	4	105	26	8186	0.000307490285007983	0.004759215306765348	3.86
Lifestyles#Coping with stress#Acid stress proteins (controlled by YvrI-YvrHa)	2	105	5	8186	0.0015891507710293522	0.019618444637588554	5.71
Prophages and mobile genetic elements#Prophages#SP-beta prophage	8	105	181	8186	0.002197964302143484	0.025901011151395373	1.91

