gene_id	PS
pgi|0000000005350261737|ti|535026|pi|0|	5
pgi|0000000005350262074|ti|535026|pi|0|	11
pgi|0000000005350262227|ti|535026|pi|0|	5
pgi|0000000005350261230|ti|535026|pi|0|	9
pgi|0000000005350261814|ti|535026|pi|0|	1
pgi|0000000005350264225|ti|535026|pi|0|	1
pgi|0000000005350261262|ti|535026|pi|0|	9
pgi|0000000005350262513|ti|535026|pi|0|	2
pgi|0000000005350261240|ti|535026|pi|0|	1
pgi|0000000005350262590|ti|535026|pi|0|	1
pgi|0000000005350263076|ti|535026|pi|0|	1
pgi|0000000005350263350|ti|535026|pi|0|	1
pgi|0000000005350263341|ti|535026|pi|0|	1
pgi|0000000005350261478|ti|535026|pi|0|	1
pgi|0000000005350264278|ti|535026|pi|0|	5
pgi|0000000005350262462|ti|535026|pi|0|	5
pgi|0000000005350262666|ti|535026|pi|0|	2
pgi|0000000005350262207|ti|535026|pi|0|	9
pgi|0000000005350261910|ti|535026|pi|0|	5
pgi|0000000005350261907|ti|535026|pi|0|	5
pgi|0000000005350262603|ti|535026|pi|0|	2
pgi|0000000005350261232|ti|535026|pi|0|	2
pgi|0000000005350261935|ti|535026|pi|0|	1
pgi|0000000005350263335|ti|535026|pi|0|	1
pgi|0000000000535026518|ti|535026|pi|0|	1
pgi|0000000005350262878|ti|535026|pi|0|	1
pgi|0000000005350264020|ti|535026|pi|0|	1
pgi|0000000000535026341|ti|535026|pi|0|	1
pgi|0000000005350261356|ti|535026|pi|0|	1
pgi|0000000000535026516|ti|535026|pi|0|	1
pgi|0000000005350263756|ti|535026|pi|0|	1
pgi|0000000005350262431|ti|535026|pi|0|	1
pgi|0000000005350262608|ti|535026|pi|0|	11
pgi|0000000005350261514|ti|535026|pi|0|	1
pgi|0000000000535026464|ti|535026|pi|0|	2
pgi|0000000005350262416|ti|535026|pi|0|	4
pgi|0000000005350261236|ti|535026|pi|0|	4
pgi|0000000005350262125|ti|535026|pi|0|	5
pgi|0000000005350263918|ti|535026|pi|0|	11
pgi|0000000005350261789|ti|535026|pi|0|	3
pgi|0000000005350261995|ti|535026|pi|0|	11
pgi|0000000005350261375|ti|535026|pi|0|	5
pgi|0000000005350261310|ti|535026|pi|0|	5
pgi|0000000005350261950|ti|535026|pi|0|	12
pgi|0000000005350261614|ti|535026|pi|0|	1
pgi|0000000005350261353|ti|535026|pi|0|	1
pgi|0000000005350261975|ti|535026|pi|0|	19
pgi|0000000005350262551|ti|535026|pi|0|	11
pgi|0000000005350262617|ti|535026|pi|0|	11
pgi|0000000005350262165|ti|535026|pi|0|	9
pgi|0000000005350263880|ti|535026|pi|0|	11
pgi|0000000005350263879|ti|535026|pi|0|	11
pgi|0000000005350262117|ti|535026|pi|0|	11
pgi|0000000000535026801|ti|535026|pi|0|	5
pgi|0000000005350262565|ti|535026|pi|0|	2
pgi|0000000005350263032|ti|535026|pi|0|	2
pgi|0000000005350261857|ti|535026|pi|0|	11
pgi|0000000005350263754|ti|535026|pi|0|	16
pgi|0000000005350263227|ti|535026|pi|0|	11
pgi|0000000005350264011|ti|535026|pi|0|	11
pgi|0000000005350262708|ti|535026|pi|0|	2
pgi|0000000005350261234|ti|535026|pi|0|	11
pgi|0000000005350262241|ti|535026|pi|0|	5
pgi|0000000005350262526|ti|535026|pi|0|	4
pgi|0000000000535026190|ti|535026|pi|0|	16
pgi|0000000005350262828|ti|535026|pi|0|	15
pgi|0000000005350263647|ti|535026|pi|0|	1
pgi|0000000005350263072|ti|535026|pi|0|	1
pgi|0000000005350262175|ti|535026|pi|0|	2
pgi|0000000005350262380|ti|535026|pi|0|	2
pgi|0000000005350264115|ti|535026|pi|0|	5
pgi|0000000005350263652|ti|535026|pi|0|	1
pgi|0000000005350263693|ti|535026|pi|0|	2
pgi|0000000005350264301|ti|535026|pi|0|	1
pgi|0000000005350261661|ti|535026|pi|0|	4
pgi|0000000000535026757|ti|535026|pi|0|	4
pgi|0000000005350262097|ti|535026|pi|0|	5
pgi|0000000005350262129|ti|535026|pi|0|	19
pgi|0000000005350262214|ti|535026|pi|0|	11
pgi|0000000005350262339|ti|535026|pi|0|	1
pgi|0000000000535026950|ti|535026|pi|0|	1
pgi|0000000005350263865|ti|535026|pi|0|	5
pgi|0000000005350264074|ti|535026|pi|0|	1
pgi|0000000005350263187|ti|535026|pi|0|	5
pgi|0000000005350262051|ti|535026|pi|0|	12
pgi|0000000000535026712|ti|535026|pi|0|	11
pgi|0000000005350263856|ti|535026|pi|0|	2
pgi|0000000005350261029|ti|535026|pi|0|	9
pgi|0000000005350261785|ti|535026|pi|0|	9
pgi|0000000005350262107|ti|535026|pi|0|	11
pgi|0000000005350262067|ti|535026|pi|0|	12
pgi|0000000005350264297|ti|535026|pi|0|	1
pgi|0000000005350262018|ti|535026|pi|0|	1
pgi|0000000005350263941|ti|535026|pi|0|	5
pgi|0000000005350264280|ti|535026|pi|0|	5
pgi|0000000005350261183|ti|535026|pi|0|	5
pgi|0000000005350262521|ti|535026|pi|0|	2
pgi|0000000005350261707|ti|535026|pi|0|	11
pgi|0000000005350262169|ti|535026|pi|0|	11
pgi|0000000005350263269|ti|535026|pi|0|	12
pgi|0000000000535026250|ti|535026|pi|0|	1
pgi|0000000005350264140|ti|535026|pi|0|	2
pgi|0000000005350262723|ti|535026|pi|0|	10
pgi|0000000000535026105|ti|535026|pi|0|	1
pgi|0000000005350261389|ti|535026|pi|0|	12
pgi|0000000005350261996|ti|535026|pi|0|	8
pgi|0000000000535026556|ti|535026|pi|0|	8
pgi|0000000000535026743|ti|535026|pi|0|	15
pgi|0000000005350263883|ti|535026|pi|0|	11
pgi|0000000005350262246|ti|535026|pi|0|	5
pgi|0000000005350263561|ti|535026|pi|0|	1
pgi|0000000005350263766|ti|535026|pi|0|	11
pgi|0000000000535026202|ti|535026|pi|0|	11
pgi|0000000005350262542|ti|535026|pi|0|	5
pgi|0000000005350261908|ti|535026|pi|0|	9
pgi|0000000005350263236|ti|535026|pi|0|	13
pgi|0000000005350261563|ti|535026|pi|0|	2
pgi|0000000005350263080|ti|535026|pi|0|	3
pgi|0000000005350261437|ti|535026|pi|0|	1
pgi|0000000005350261159|ti|535026|pi|0|	1
pgi|0000000005350263210|ti|535026|pi|0|	1
pgi|0000000005350262003|ti|535026|pi|0|	1
pgi|0000000000535026374|ti|535026|pi|0|	1
pgi|0000000005350261961|ti|535026|pi|0|	1
pgi|0000000000535026373|ti|535026|pi|0|	1
pgi|0000000000535026976|ti|535026|pi|0|	1
pgi|0000000000535026977|ti|535026|pi|0|	1
pgi|0000000005350264182|ti|535026|pi|0|	1
pgi|0000000005350261185|ti|535026|pi|0|	4
pgi|0000000000053502689|ti|535026|pi|0|	2
pgi|0000000000535026515|ti|535026|pi|0|	1
pgi|0000000005350264272|ti|535026|pi|0|	5
pgi|0000000000535026882|ti|535026|pi|0|	1
pgi|0000000005350263493|ti|535026|pi|0|	1
pgi|0000000005350263654|ti|535026|pi|0|	2
pgi|0000000005350264327|ti|535026|pi|0|	2
pgi|0000000005350262443|ti|535026|pi|0|	8
pgi|0000000005350262538|ti|535026|pi|0|	1
pgi|0000000000535026756|ti|535026|pi|0|	12
pgi|0000000005350263499|ti|535026|pi|0|	4
pgi|0000000000535026667|ti|535026|pi|0|	2
pgi|0000000005350261971|ti|535026|pi|0|	1
pgi|0000000005350262061|ti|535026|pi|0|	1
pgi|0000000005350263776|ti|535026|pi|0|	2
pgi|0000000005350261158|ti|535026|pi|0|	11
pgi|0000000005350263281|ti|535026|pi|0|	5
pgi|0000000005350261881|ti|535026|pi|0|	2
pgi|0000000005350262955|ti|535026|pi|0|	2
pgi|0000000005350264111|ti|535026|pi|0|	2
pgi|0000000000535026803|ti|535026|pi|0|	5
pgi|0000000005350263870|ti|535026|pi|0|	9
pgi|0000000005350262307|ti|535026|pi|0|	1
pgi|0000000000535026799|ti|535026|pi|0|	1
pgi|0000000005350262825|ti|535026|pi|0|	13
pgi|0000000005350263917|ti|535026|pi|0|	11
pgi|0000000005350264112|ti|535026|pi|0|	9
pgi|0000000005350261685|ti|535026|pi|0|	2
pgi|0000000000535026468|ti|535026|pi|0|	4
pgi|0000000005350261455|ti|535026|pi|0|	5
pgi|0000000005350262692|ti|535026|pi|0|	1
pgi|0000000005350262786|ti|535026|pi|0|	5
pgi|0000000000535026549|ti|535026|pi|0|	5
pgi|0000000000535026484|ti|535026|pi|0|	3
pgi|0000000005350262173|ti|535026|pi|0|	5
pgi|0000000005350261288|ti|535026|pi|0|	4
pgi|0000000000535026700|ti|535026|pi|0|	2
pgi|0000000005350263055|ti|535026|pi|0|	2
pgi|0000000005350261905|ti|535026|pi|0|	2
pgi|0000000005350261519|ti|535026|pi|0|	2
pgi|0000000005350262795|ti|535026|pi|0|	2
pgi|0000000005350261058|ti|535026|pi|0|	5
pgi|0000000005350263583|ti|535026|pi|0|	11
pgi|0000000005350262437|ti|535026|pi|0|	5
pgi|0000000005350261138|ti|535026|pi|0|	4
pgi|0000000005350263137|ti|535026|pi|0|	1
pgi|0000000005350261780|ti|535026|pi|0|	5
pgi|0000000005350263705|ti|535026|pi|0|	11
pgi|0000000005350262278|ti|535026|pi|0|	4
pgi|0000000000535026643|ti|535026|pi|0|	1
pgi|0000000000053502643|ti|535026|pi|0|	4
pgi|0000000005350263468|ti|535026|pi|0|	3
pgi|0000000005350261643|ti|535026|pi|0|	1
pgi|0000000000005350265|ti|535026|pi|0|	4
pgi|0000000005350261311|ti|535026|pi|0|	13
pgi|0000000005350263551|ti|535026|pi|0|	13
pgi|0000000005350261670|ti|535026|pi|0|	1
pgi|0000000005350262053|ti|535026|pi|0|	19
pgi|0000000005350264088|ti|535026|pi|0|	1
pgi|0000000000535026482|ti|535026|pi|0|	7
pgi|0000000005350261984|ti|535026|pi|0|	12
pgi|0000000005350261739|ti|535026|pi|0|	11
pgi|0000000005350261744|ti|535026|pi|0|	11
pgi|0000000005350261842|ti|535026|pi|0|	2
pgi|0000000005350262566|ti|535026|pi|0|	11
pgi|0000000005350261261|ti|535026|pi|0|	11
pgi|0000000005350262111|ti|535026|pi|0|	11
pgi|0000000005350262364|ti|535026|pi|0|	1
pgi|0000000005350263739|ti|535026|pi|0|	1
pgi|0000000005350261039|ti|535026|pi|0|	2
pgi|0000000000535026451|ti|535026|pi|0|	1
pgi|0000000000535026450|ti|535026|pi|0|	1
pgi|0000000005350261763|ti|535026|pi|0|	2
pgi|0000000005350262430|ti|535026|pi|0|	1
pgi|0000000005350263164|ti|535026|pi|0|	2
pgi|0000000000535026429|ti|535026|pi|0|	2
pgi|0000000000535026131|ti|535026|pi|0|	1
pgi|0000000005350263528|ti|535026|pi|0|	18
pgi|0000000005350263841|ti|535026|pi|0|	11
pgi|0000000005350264033|ti|535026|pi|0|	2
pgi|0000000005350263992|ti|535026|pi|0|	5
pgi|0000000000535026213|ti|535026|pi|0|	5
pgi|0000000005350261169|ti|535026|pi|0|	8
pgi|0000000005350261981|ti|535026|pi|0|	11
pgi|0000000005350263154|ti|535026|pi|0|	4
pgi|0000000005350262501|ti|535026|pi|0|	4
pgi|0000000005350262146|ti|535026|pi|0|	2
pgi|0000000005350262456|ti|535026|pi|0|	8
pgi|0000000005350261931|ti|535026|pi|0|	5
pgi|0000000005350264264|ti|535026|pi|0|	21
pgi|0000000005350264296|ti|535026|pi|0|	21
pgi|0000000005350264328|ti|535026|pi|0|	21
pgi|0000000005350261245|ti|535026|pi|0|	4
pgi|0000000005350262584|ti|535026|pi|0|	4
pgi|0000000005350261265|ti|535026|pi|0|	9
pgi|0000000005350262393|ti|535026|pi|0|	1
pgi|0000000000535026928|ti|535026|pi|0|	1
pgi|0000000005350261220|ti|535026|pi|0|	5
pgi|0000000000535026124|ti|535026|pi|0|	1
pgi|0000000005350263597|ti|535026|pi|0|	8
pgi|0000000005350263847|ti|535026|pi|0|	2
pgi|0000000000535026991|ti|535026|pi|0|	13
pgi|0000000000535026680|ti|535026|pi|0|	5
pgi|0000000000535026132|ti|535026|pi|0|	1
pgi|0000000005350263575|ti|535026|pi|0|	11
pgi|0000000000535026104|ti|535026|pi|0|	1
pgi|0000000005350264333|ti|535026|pi|0|	12
pgi|0000000000535026780|ti|535026|pi|0|	1
pgi|0000000005350261134|ti|535026|pi|0|	9
pgi|0000000000535026695|ti|535026|pi|0|	3
pgi|0000000005350262982|ti|535026|pi|0|	3
pgi|0000000000535026685|ti|535026|pi|0|	3
pgi|0000000005350264100|ti|535026|pi|0|	3
pgi|0000000005350261486|ti|535026|pi|0|	1
pgi|0000000000535026257|ti|535026|pi|0|	4
pgi|0000000005350264099|ti|535026|pi|0|	1
pgi|0000000005350263495|ti|535026|pi|0|	2
pgi|0000000005350263559|ti|535026|pi|0|	5
pgi|0000000005350262632|ti|535026|pi|0|	19
pgi|0000000005350263592|ti|535026|pi|0|	13
pgi|0000000005350263629|ti|535026|pi|0|	1
pgi|0000000000535026205|ti|535026|pi|0|	9
pgi|0000000000535026351|ti|535026|pi|0|	1
pgi|0000000005350264042|ti|535026|pi|0|	1
pgi|0000000000535026330|ti|535026|pi|0|	14
pgi|0000000005350263473|ti|535026|pi|0|	1
pgi|0000000005350263279|ti|535026|pi|0|	1
pgi|0000000000053502660|ti|535026|pi|0|	4
pgi|0000000000535026127|ti|535026|pi|0|	1
pgi|0000000000535026109|ti|535026|pi|0|	1
pgi|0000000005350261355|ti|535026|pi|0|	1
pgi|0000000000535026682|ti|535026|pi|0|	1
pgi|0000000005350261227|ti|535026|pi|0|	1
pgi|0000000000535026434|ti|535026|pi|0|	1
pgi|0000000005350262285|ti|535026|pi|0|	8
pgi|0000000005350263122|ti|535026|pi|0|	8
pgi|0000000005350263606|ti|535026|pi|0|	16
pgi|0000000005350263855|ti|535026|pi|0|	11
pgi|0000000005350264163|ti|535026|pi|0|	1
pgi|0000000005350263039|ti|535026|pi|0|	1
pgi|0000000005350263670|ti|535026|pi|0|	1
pgi|0000000000535026889|ti|535026|pi|0|	4
pgi|0000000000535026888|ti|535026|pi|0|	4
pgi|0000000000535026433|ti|535026|pi|0|	3
pgi|0000000005350261235|ti|535026|pi|0|	11
pgi|0000000005350262600|ti|535026|pi|0|	11
pgi|0000000005350261193|ti|535026|pi|0|	2
pgi|0000000005350263565|ti|535026|pi|0|	5
pgi|0000000005350262298|ti|535026|pi|0|	1
pgi|0000000000535026919|ti|535026|pi|0|	9
pgi|0000000005350264212|ti|535026|pi|0|	4
pgi|0000000005350262264|ti|535026|pi|0|	1
pgi|0000000005350262091|ti|535026|pi|0|	1
pgi|0000000005350261342|ti|535026|pi|0|	2
pgi|0000000005350263851|ti|535026|pi|0|	1
pgi|0000000005350261489|ti|535026|pi|0|	4
pgi|0000000005350262444|ti|535026|pi|0|	2
pgi|0000000005350261365|ti|535026|pi|0|	1
pgi|0000000005350263078|ti|535026|pi|0|	1
pgi|0000000005350261431|ti|535026|pi|0|	1
pgi|0000000005350262741|ti|535026|pi|0|	1
pgi|0000000000535026966|ti|535026|pi|0|	1
pgi|0000000000535026713|ti|535026|pi|0|	5
pgi|0000000005350263502|ti|535026|pi|0|	2
pgi|0000000000535026862|ti|535026|pi|0|	11
pgi|0000000000535026881|ti|535026|pi|0|	1
pgi|0000000000535026135|ti|535026|pi|0|	1
pgi|0000000005350263105|ti|535026|pi|0|	5
pgi|0000000005350261473|ti|535026|pi|0|	5
pgi|0000000005350261472|ti|535026|pi|0|	2
pgi|0000000005350262606|ti|535026|pi|0|	2
pgi|0000000005350262143|ti|535026|pi|0|	2
pgi|0000000005350263624|ti|535026|pi|0|	1
pgi|0000000005350263721|ti|535026|pi|0|	1
pgi|0000000005350264185|ti|535026|pi|0|	1
pgi|0000000000535026922|ti|535026|pi|0|	1
pgi|0000000005350263858|ti|535026|pi|0|	1
pgi|0000000005350263857|ti|535026|pi|0|	1
pgi|0000000005350261299|ti|535026|pi|0|	1
pgi|0000000005350262585|ti|535026|pi|0|	10
pgi|0000000005350261244|ti|535026|pi|0|	10
pgi|0000000005350263143|ti|535026|pi|0|	9
pgi|0000000005350261106|ti|535026|pi|0|	5
pgi|0000000005350264213|ti|535026|pi|0|	1
pgi|0000000000535026163|ti|535026|pi|0|	1
pgi|0000000005350263284|ti|535026|pi|0|	1
pgi|0000000000535026831|ti|535026|pi|0|	1
pgi|0000000000535026830|ti|535026|pi|0|	1
pgi|0000000000535026739|ti|535026|pi|0|	1
pgi|0000000000535026740|ti|535026|pi|0|	1
pgi|0000000000535026162|ti|535026|pi|0|	1
pgi|0000000005350263297|ti|535026|pi|0|	1
pgi|0000000000535026376|ti|535026|pi|0|	1
pgi|0000000000535026377|ti|535026|pi|0|	1
pgi|0000000005350263181|ti|535026|pi|0|	1
pgi|0000000000535026746|ti|535026|pi|0|	1
pgi|0000000005350262650|ti|535026|pi|0|	1
pgi|0000000005350261998|ti|535026|pi|0|	19
pgi|0000000000535026793|ti|535026|pi|0|	11
pgi|0000000005350264126|ti|535026|pi|0|	14
pgi|0000000005350261727|ti|535026|pi|0|	13
pgi|0000000000535026784|ti|535026|pi|0|	8
pgi|0000000005350261358|ti|535026|pi|0|	2
pgi|0000000005350261966|ti|535026|pi|0|	2
pgi|0000000005350262426|ti|535026|pi|0|	5
pgi|0000000005350263929|ti|535026|pi|0|	1
pgi|0000000005350264021|ti|535026|pi|0|	1
pgi|0000000005350261719|ti|535026|pi|0|	9
pgi|0000000005350261844|ti|535026|pi|0|	9
pgi|0000000000535026116|ti|535026|pi|0|	1
pgi|0000000005350263564|ti|535026|pi|0|	1
pgi|0000000000535026524|ti|535026|pi|0|	1
pgi|0000000005350261781|ti|535026|pi|0|	1
pgi|0000000005350263184|ti|535026|pi|0|	1
pgi|0000000005350263864|ti|535026|pi|0|	1
pgi|0000000005350263902|ti|535026|pi|0|	1
pgi|0000000005350263933|ti|535026|pi|0|	1
pgi|0000000000535026813|ti|535026|pi|0|	1
pgi|0000000000535026978|ti|535026|pi|0|	8
pgi|0000000005350263985|ti|535026|pi|0|	15
pgi|0000000005350261048|ti|535026|pi|0|	1
pgi|0000000005350263131|ti|535026|pi|0|	1
pgi|0000000005350263134|ti|535026|pi|0|	1
pgi|0000000000535026183|ti|535026|pi|0|	1
pgi|0000000005350263132|ti|535026|pi|0|	1
pgi|0000000005350263203|ti|535026|pi|0|	2
pgi|0000000000535026798|ti|535026|pi|0|	4
pgi|0000000005350261553|ti|535026|pi|0|	1
pgi|0000000005350263368|ti|535026|pi|0|	1
pgi|0000000005350261634|ti|535026|pi|0|	1
pgi|0000000005350263905|ti|535026|pi|0|	2
pgi|0000000005350261487|ti|535026|pi|0|	1
pgi|0000000005350262506|ti|535026|pi|0|	2
pgi|0000000000535026726|ti|535026|pi|0|	5
pgi|0000000005350264251|ti|535026|pi|0|	3
pgi|0000000000535026473|ti|535026|pi|0|	8
pgi|0000000005350261406|ti|535026|pi|0|	11
pgi|0000000005350263645|ti|535026|pi|0|	1
pgi|0000000005350263757|ti|535026|pi|0|	1
pgi|0000000005350262699|ti|535026|pi|0|	1
pgi|0000000005350261196|ti|535026|pi|0|	1
pgi|0000000005350264255|ti|535026|pi|0|	7
pgi|0000000005350261586|ti|535026|pi|0|	1
pgi|0000000005350261054|ti|535026|pi|0|	5
pgi|0000000000005350263|ti|535026|pi|0|	2
pgi|0000000005350261837|ti|535026|pi|0|	5
pgi|0000000005350261648|ti|535026|pi|0|	1
pgi|0000000000535026435|ti|535026|pi|0|	1
pgi|0000000000535026914|ti|535026|pi|0|	1
pgi|0000000005350262433|ti|535026|pi|0|	1
pgi|0000000005350263653|ti|535026|pi|0|	1
pgi|0000000005350262434|ti|535026|pi|0|	1
pgi|0000000005350262435|ti|535026|pi|0|	1
pgi|0000000000535026592|ti|535026|pi|0|	1
pgi|0000000005350264198|ti|535026|pi|0|	9
pgi|0000000005350264158|ti|535026|pi|0|	11
pgi|0000000005350261136|ti|535026|pi|0|	3
pgi|0000000005350262267|ti|535026|pi|0|	8
pgi|0000000005350261788|ti|535026|pi|0|	11
pgi|0000000005350261777|ti|535026|pi|0|	4
pgi|0000000005350262440|ti|535026|pi|0|	1
pgi|0000000000535026861|ti|535026|pi|0|	1
pgi|0000000005350262558|ti|535026|pi|0|	13
pgi|0000000000535026901|ti|535026|pi|0|	13
pgi|0000000005350262312|ti|535026|pi|0|	11
pgi|0000000005350262345|ti|535026|pi|0|	9
pgi|0000000005350263385|ti|535026|pi|0|	8
pgi|0000000005350262583|ti|535026|pi|0|	2
pgi|0000000005350261246|ti|535026|pi|0|	2
pgi|0000000005350263163|ti|535026|pi|0|	2
pgi|0000000000535026372|ti|535026|pi|0|	11
pgi|0000000005350261083|ti|535026|pi|0|	1
pgi|0000000005350264080|ti|535026|pi|0|	4
pgi|0000000005350262547|ti|535026|pi|0|	3
pgi|0000000005350261817|ti|535026|pi|0|	1
pgi|0000000005350263571|ti|535026|pi|0|	1
pgi|0000000005350263148|ti|535026|pi|0|	7
pgi|0000000005350261243|ti|535026|pi|0|	5
pgi|0000000005350262586|ti|535026|pi|0|	5
pgi|0000000005350262000|ti|535026|pi|0|	11
pgi|0000000005350261443|ti|535026|pi|0|	9
pgi|0000000000535026184|ti|535026|pi|0|	1
pgi|0000000005350262135|ti|535026|pi|0|	1
pgi|0000000005350264300|ti|535026|pi|0|	1
pgi|0000000005350261988|ti|535026|pi|0|	1
pgi|0000000005350262422|ti|535026|pi|0|	4
pgi|0000000005350263225|ti|535026|pi|0|	2
pgi|0000000005350263144|ti|535026|pi|0|	5
pgi|0000000000535026969|ti|535026|pi|0|	8
pgi|0000000000535026783|ti|535026|pi|0|	4
pgi|0000000005350262075|ti|535026|pi|0|	11
pgi|0000000005350261756|ti|535026|pi|0|	11
pgi|0000000005350262008|ti|535026|pi|0|	12
pgi|0000000000535026893|ti|535026|pi|0|	1
pgi|0000000000535026818|ti|535026|pi|0|	1
pgi|0000000000535026441|ti|535026|pi|0|	1
pgi|0000000005350264051|ti|535026|pi|0|	1
pgi|0000000005350264167|ti|535026|pi|0|	1
pgi|0000000000535026694|ti|535026|pi|0|	3
pgi|0000000000535026486|ti|535026|pi|0|	12
pgi|0000000005350262984|ti|535026|pi|0|	11
pgi|0000000005350264026|ti|535026|pi|0|	19
pgi|0000000005350264282|ti|535026|pi|0|	21
pgi|0000000005350264314|ti|535026|pi|0|	21
pgi|0000000005350261161|ti|535026|pi|0|	11
pgi|0000000005350264202|ti|535026|pi|0|	12
pgi|0000000005350261160|ti|535026|pi|0|	6
pgi|0000000005350262568|ti|535026|pi|0|	11
pgi|0000000005350261259|ti|535026|pi|0|	11
pgi|0000000005350262756|ti|535026|pi|0|	3
pgi|0000000000535026138|ti|535026|pi|0|	2
pgi|0000000000535026867|ti|535026|pi|0|	11
