protein_id	PS
AQZ91285.1	1
AQZ89659.1	1
AQZ92600.1	1
AQZ92229.1	1
AQZ90482.1	1
AQZ89673.1	1
AQZ93028.1	1
AQZ91138.1	8
AQZ91224.1	1
AQZ89519.1	1
AQZ91755.1	1
AQZ92990.1	1
AQZ92034.1	1
AQZ89608.1	3
AQZ93125.1	2
AQZ88960.1	1
AQZ91644.1	1
AQZ91867.1	1
AQZ92592.1	8
AQZ91448.1	1
AQZ92057.1	3
AQZ91751.1	1
AQZ88991.1	1
AQZ93245.1	2
AQZ90251.1	1
AQZ91780.1	11
AQZ92131.1	1
AQZ89135.1	11
AQZ89380.1	1
AQZ92877.1	1
AQZ91708.1	1
AQZ92284.1	1
AQZ89254.1	1
AQZ92076.1	2
AQZ89639.1	5
AQZ92464.1	2
AQZ92433.1	1
AQZ92953.1	2
AQZ89544.1	1
AQZ90622.1	1
AQZ90258.1	4
AQZ89070.1	1
AQZ93018.1	2
AQZ91153.1	1
AQZ89301.1	1
AQZ92522.1	1
AQZ91526.1	1
AQZ92776.1	1
AQZ93208.1	9
AQZ93002.1	1
AQZ90107.1	5
AQZ91415.1	2
AQZ89960.1	1
AQZ91604.1	1
AQZ89627.1	1
AQZ89956.1	4
AQZ89509.1	2
AQZ91164.1	1
AQZ90718.1	3
AQZ90788.1	12
AQZ89238.1	1
AQZ93237.1	1
AQZ92659.1	1
AQZ89306.1	1
AQZ91840.1	1
AQZ91679.1	1
AQZ89234.1	1
AQZ89690.1	9
AQZ89056.1	1
AQZ92204.1	5
AQZ91908.1	1
AQZ90646.1	1
AQZ88926.1	1
AQZ89947.1	1
AQZ91574.1	5
AQZ91127.1	1
AQZ89274.1	1
AQZ90370.1	5
AQZ91612.1	1
AQZ89377.1	2
AQZ89937.1	6
AQZ90955.1	11
AQZ91158.1	1
AQZ91263.1	9
AQZ91078.1	4
AQZ92421.1	1
AQZ90165.1	2
AQZ91128.1	1
AQZ91441.1	4
AQZ89293.1	1
AQZ90733.1	1
AQZ89703.1	11
AQZ92987.1	1
AQZ91346.1	1
AQZ90329.1	2
AQZ90862.1	10
AQZ92759.1	2
AQZ90999.1	12
AQZ91975.1	11
AQZ90506.1	2
AQZ92358.1	2
AQZ89430.1	2
AQZ91912.1	1
AQZ89718.1	1
AQZ90625.1	2
AQZ89193.1	1
AQZ91929.1	1
AQZ90923.1	12
AQZ90141.1	2
AQZ93141.1	1
AQZ90172.1	5
AQZ92930.1	1
AQZ90654.1	5
AQZ89993.1	1
AQZ90409.1	1
AQZ90154.1	10
AQZ89036.1	1
AQZ90632.1	9
AQZ91716.1	1
AQZ91452.1	1
AQZ90055.1	1
AQZ90443.1	1
AQZ89339.1	1
AQZ89428.1	1
AQZ89369.1	1
AQZ89341.1	1
AQZ92231.1	1
AQZ90916.1	9
AQZ92992.1	1
AQZ88930.1	1
AQZ91479.1	1
AQZ93229.1	21
AQZ91077.1	5
AQZ91989.1	2
AQZ92186.1	1
AQZ92527.1	2
AQZ92406.1	10
AQZ92568.1	1
AQZ92113.1	2
AQZ91198.1	4
AQZ91810.1	1
AQZ90486.1	1
AQZ92415.1	2
AQZ89902.1	1
AQZ92399.1	11
AQZ93100.1	1
AQZ89984.1	1
AQZ89054.1	1
AQZ89556.1	1
AQZ91426.1	1
AQZ89840.1	1
AQZ89670.1	4
AQZ90587.1	4
AQZ89614.1	2
AQZ89600.1	1
AQZ89757.1	1
AQZ92681.1	11
AQZ92665.1	1
AQZ91252.1	8
AQZ89648.1	13
AQZ91788.1	2
AQZ91210.1	1
AQZ90861.1	1
AQZ89491.1	1
AQZ89475.1	1
AQZ92627.1	1
AQZ89244.1	1
AQZ89568.1	1
AQZ89854.1	1
AQZ92971.1	1
AQZ92729.1	2
AQZ92843.1	1
AQZ91109.1	12
AQZ92605.1	1
AQZ89113.1	13
AQZ89998.1	2
AQZ91192.1	2
AQZ93070.1	12
AQZ92714.1	2
AQZ88995.1	1
AQZ89997.1	11
AQZ90194.1	1
AQZ93103.1	1
AQZ90529.1	1
AQZ89527.1	1
AQZ93087.1	11
AQZ90059.1	1
AQZ89615.1	1
AQZ90564.1	1
AQZ92008.1	1
AQZ89748.1	12
AQZ91475.1	3
AQZ90998.1	4
AQZ92488.1	1
AQZ89296.1	1
AQZ92117.1	1
AQZ91466.1	11
AQZ89655.1	11
AQZ91782.1	7
AQZ92805.1	3
AQZ89047.1	1
AQZ90579.1	1
AQZ93176.1	1
AQZ92851.1	1
AQZ91478.1	12
AQZ92723.1	1
AQZ91223.1	1
AQZ90300.1	1
AQZ89656.1	15
AQZ89328.1	1
AQZ93164.1	2
AQZ91019.1	11
AQZ91750.1	1
AQZ92656.1	1
AQZ92453.1	4
AQZ91222.1	5
AQZ89302.1	1
AQZ89260.1	4
AQZ92068.1	5
AQZ89618.1	2
AQZ89722.1	1
AQZ90907.1	5
AQZ89837.1	1
AQZ92111.1	5
AQZ89524.1	1
AQZ89141.1	1
AQZ92094.1	13
AQZ89077.1	1
AQZ92727.1	1
AQZ92403.1	2
AQZ90318.1	9
AQZ89137.1	1
AQZ88954.1	2
AQZ91781.1	1
AQZ90525.1	2
AQZ91761.1	1
AQZ91147.1	1
AQZ91805.1	1
AQZ89442.1	1
AQZ91169.1	2
AQZ89098.1	1
AQZ90675.1	1
AQZ90818.1	2
AQZ93000.1	3
AQZ91075.1	1
AQZ91194.1	1
AQZ92859.1	11
AQZ90761.1	1
AQZ92130.1	1
AQZ92874.1	1
AQZ91507.1	12
AQZ90651.1	1
AQZ92620.1	11
AQZ91358.1	9
AQZ89754.1	8
AQZ92793.1	3
AQZ92283.1	1
AQZ91339.1	1
AQZ92554.1	1
AQZ91284.1	1
AQZ89250.1	5
AQZ91256.1	1
AQZ89266.1	1
AQZ92853.1	1
AQZ91316.1	2
AQZ91590.1	4
AQZ90428.1	1
AQZ92281.1	1
AQZ90439.1	1
AQZ90705.1	2
AQZ90108.1	1
AQZ91391.1	1
AQZ92241.1	1
AQZ92157.1	9
AQZ88972.1	2
AQZ91321.1	1
AQZ90644.2	1
AQZ91775.1	5
AQZ92481.1	5
AQZ91350.1	1
AQZ92882.1	1
AQZ89587.1	11
AQZ89344.1	1
AQZ93104.1	1
AQZ92926.1	11
AQZ90991.1	9
AQZ89933.1	1
AQZ89196.1	1
AQZ91221.1	1
AQZ89242.1	2
AQZ91220.1	1
AQZ91144.1	1
AQZ89345.1	1
AQZ92149.1	1
AQZ90971.1	9
AQZ91104.1	9
AQZ89749.1	1
AQZ89008.1	1
AQZ92712.1	1
AQZ88942.1	2
AQZ93084.1	1
AQZ90100.1	11
AQZ90574.1	4
AQZ92021.1	1
AQZ91843.1	1
AQZ90002.1	9
AQZ92988.1	2
AQZ92177.1	1
AQZ88927.1	1
AQZ89253.1	1
AQZ89178.1	1
AQZ90665.1	4
AQZ92621.1	1
AQZ89485.1	2
AQZ89144.1	1
AQZ90026.1	1
AQZ92666.1	1
AQZ89214.1	1
AQZ89213.1	1
AQZ90036.1	1
AQZ90163.1	2
AQZ88978.1	4
AQZ89334.1	1
AQZ92865.1	1
AQZ90056.1	1
AQZ92944.1	8
AQZ90058.1	1
AQZ90380.1	1
AQZ90276.1	7
AQZ91408.1	2
AQZ92550.1	2
AQZ90497.1	1
AQZ92954.1	1
AQZ91882.1	9
AQZ90217.1	1
AQZ89175.1	1
AQZ91937.1	1
AQZ89425.1	2
AQZ90412.1	1
AQZ91177.1	2
AQZ91941.1	8
AQZ90719.1	1
AQZ90414.1	1
AQZ93182.1	2
AQZ90064.1	9
AQZ90902.2	1
AQZ90879.1	2
AQZ89220.1	1
AQZ89906.1	1
AQZ92580.1	1
AQZ89590.1	1
AQZ91527.1	1
AQZ92643.1	1
AQZ91107.1	5
AQZ90010.1	5
AQZ92004.1	1
AQZ92673.1	9
AQZ91219.1	5
AQZ92774.1	1
AQZ90178.1	11
AQZ92963.1	1
AQZ89955.1	1
AQZ90112.1	11
AQZ89863.1	1
AQZ90816.1	15
AQZ89204.1	1
AQZ90843.1	2
AQZ90360.1	2
AQZ92752.1	1
AQZ90416.1	3
AQZ91803.1	1
AQZ89965.1	5
AQZ90288.1	5
AQZ93081.1	1
AQZ90432.1	2
AQZ90932.1	1
AQZ89316.1	1
AQZ90952.1	5
AQZ93068.1	5
AQZ90725.1	1
AQZ92549.1	12
AQZ89284.1	1
AQZ89206.1	1
AQZ90007.1	1
AQZ89331.1	1
AQZ90731.1	1
AQZ92623.1	13
AQZ92935.1	1
AQZ91783.1	1
AQZ89978.1	1
AQZ91457.1	5
AQZ89766.1	2
AQZ91821.1	1
AQZ91379.1	11
AQZ89689.1	1
AQZ91561.1	1
AQZ92260.1	1
AQZ91422.1	1
AQZ90513.1	2
AQZ89397.1	3
AQZ90790.1	11
AQZ92353.1	1
AQZ90023.1	1
AQZ88917.1	1
AQZ90592.1	3
AQZ90129.1	1
AQZ93147.1	1
AQZ92017.1	11
AQZ93032.1	1
AQZ92950.1	1
AQZ89224.1	1
AQZ89130.1	2
AQZ90138.1	1
AQZ90794.1	2
AQZ92089.1	1
AQZ89899.1	1
AQZ91530.1	1
AQZ90554.1	1
AQZ89357.1	12
AQZ89150.1	1
AQZ89029.1	1
AQZ92397.1	1
AQZ89843.1	1
AQZ92607.1	11
AQZ89174.1	1
AQZ90490.1	1
AQZ89662.1	1
AQZ91738.1	5
AQZ91444.1	11
AQZ90986.1	5
AQZ89433.1	1
AQZ91649.1	12
AQZ90431.1	1
AQZ91710.1	9
AQZ88957.1	2
AQZ89922.1	1
AQZ92022.1	1
AQZ91933.1	1
AQZ91116.1	1
AQZ90640.1	13
AQZ92265.1	1
AQZ92387.1	1
AQZ92388.1	2
AQZ90997.1	12
AQZ92335.1	1
AQZ91118.1	1
AQZ91163.1	1
AQZ90131.1	1
AQZ90650.1	4
AQZ93157.1	2
AQZ91318.1	2
AQZ90280.1	1
AQZ92590.1	1
AQZ92063.1	2
AQZ89759.1	2
AQZ91373.1	7
AQZ92072.1	1
AQZ93077.1	1
AQZ89580.1	2
AQZ90844.1	9
AQZ89281.1	2
AQZ91559.1	1
AQZ89983.1	1
AQZ91630.1	1
AQZ92905.1	1
AQZ92915.1	1
AQZ92579.1	1
AQZ91809.1	1
AQZ91585.1	1
AQZ91267.1	1
AQZ89573.1	1
AQZ92368.1	1
AQZ91807.1	1
AQZ90599.1	1
AQZ91044.1	19
AQZ92271.1	1
AQZ91277.1	1
AQZ91727.1	1
AQZ93121.1	1
AQZ89904.1	13
AQZ90028.1	3
AQZ92937.1	5
AQZ90044.1	4
AQZ89577.2	2
AQZ89348.1	1
AQZ89381.1	4
AQZ91676.1	1
AQZ91052.1	19
AQZ92540.1	1
AQZ91092.1	1
AQZ90275.1	8
AQZ90600.1	1
AQZ90981.1	12
AQZ91578.1	1
AQZ91568.1	2
AQZ90344.1	1
AQZ90842.1	9
AQZ91370.1	1
AQZ89051.1	5
AQZ92480.1	5
AQZ89549.1	1
AQZ90101.1	13
AQZ91544.1	1
AQZ93223.1	2
AQZ91844.1	1
AQZ93065.1	9
AQZ92456.1	4
AQZ91396.1	12
AQZ92719.1	1
AQZ89300.1	1
AQZ91079.1	1
AQZ91934.1	3
AQZ92644.1	1
AQZ90501.1	1
AQZ90692.1	5
AQZ90423.1	1
AQZ93153.1	2
AQZ90085.1	5
AQZ92585.1	1
AQZ90401.1	5
AQZ89574.1	1
AQZ92292.1	1
AQZ91794.1	1
AQZ91467.1	1
AQZ89664.1	1
AQZ92014.1	1
AQZ89091.1	1
AQZ90196.1	1
AQZ93143.1	4
AQZ91276.1	1
AQZ92304.1	1
AQZ93130.1	1
AQZ91579.1	1
AQZ92725.1	1
AQZ89443.1	12
AQZ89446.1	1
AQZ89778.1	1
AQZ92581.1	5
AQZ91487.1	2
AQZ89450.1	1
AQZ90279.1	1
AQZ89474.1	1
AQZ92670.1	4
AQZ89942.1	5
AQZ91771.1	1
AQZ92754.1	1
AQZ90132.1	2
AQZ88964.1	1
AQZ89378.1	1
AQZ91302.1	1
AQZ90081.1	3
AQZ89154.1	1
AQZ90884.1	2
AQZ91059.1	1
AQZ90031.1	1
AQZ89207.1	1
AQZ89898.1	1
AQZ91856.1	1
AQZ92908.1	5
AQZ89427.1	1
AQZ92952.1	1
AQZ92285.1	1
AQZ90779.1	2
AQZ93080.1	1
AQZ91690.1	1
AQZ93021.1	1
AQZ90806.1	4
AQZ93089.1	1
AQZ90348.1	1
AQZ91402.1	8
AQZ89969.1	1
AQZ89049.1	1
AQZ90374.1	5
AQZ93187.1	9
AQZ92110.1	1
AQZ91066.1	1
AQZ89283.1	1
AQZ92536.1	1
AQZ88940.1	1
AQZ90678.1	8
AQZ90186.1	1
AQZ89391.1	11
AQZ92529.1	1
AQZ90049.1	1
AQZ92153.1	1
AQZ92744.1	2
AQZ91626.1	1
AQZ90477.1	2
AQZ90378.1	1
AQZ88990.1	1
AQZ92114.1	4
AQZ90136.1	1
AQZ90649.1	1
AQZ92103.2	1
AQZ89308.1	1
AQZ93131.1	1
AQZ92441.1	3
AQZ90220.1	1
AQZ93204.1	1
AQZ92193.1	3
AQZ89850.1	1
AQZ92001.1	1
AQZ91606.1	1
AQZ91926.1	1
AQZ91028.1	11
AQZ90236.1	1
AQZ89009.1	1
AQZ91420.1	1
AQZ90408.1	1
AQZ91615.1	9
AQZ92360.1	1
AQZ90542.1	1
AQZ91638.1	9
AQZ92420.1	4
AQZ90764.1	2
AQZ89448.1	1
AQZ89280.1	1
AQZ91636.1	1
AQZ91641.1	1
AQZ89431.1	1
AQZ91072.1	1
AQZ90889.1	12
AQZ89991.1	1
AQZ90389.1	6
AQZ90088.1	4
AQZ92334.1	1
AQZ89020.1	1
AQZ89553.1	1
AQZ90451.1	1
AQZ89195.1	1
AQZ90358.1	1
AQZ89581.1	2
AQZ92119.1	1
AQZ91861.1	1
AQZ91753.1	2
AQZ92389.1	9
AQZ92586.1	2
AQZ89471.1	1
AQZ89601.1	1
AQZ89063.1	1
AQZ90863.1	12
AQZ91762.1	1
AQZ89926.1	1
AQZ89636.1	1
AQZ92923.1	1
AQZ90514.1	2
AQZ90257.1	9
AQZ92208.1	1
AQZ91492.1	1
AQZ91468.1	1
AQZ93034.1	1
AQZ91269.1	1
AQZ88984.1	1
AQZ92047.1	1
AQZ91671.1	2
AQZ92366.1	1
AQZ91188.1	9
AQZ92315.1	2
AQZ89447.1	1
AQZ90639.1	4
AQZ91275.1	2
AQZ93057.1	1
AQZ89736.1	1
AQZ92795.1	11
AQZ89231.1	2
AQZ89927.1	1
AQZ92308.1	1
AQZ92280.1	1
AQZ92167.1	1
AQZ91057.1	5
AQZ92395.1	1
AQZ89373.1	1
AQZ92993.1	1
AQZ89271.1	2
AQZ92191.1	1
AQZ92738.1	11
AQZ92699.1	2
AQZ89039.1	1
AQZ89384.1	1
AQZ89502.1	1
AQZ88971.1	2
AQZ93216.1	2
AQZ89555.1	1
AQZ92677.1	11
AQZ91281.1	1
AQZ90831.1	1
AQZ89415.1	1
AQZ92640.1	5
AQZ92337.1	1
AQZ89136.1	1
AQZ89851.1	1
AQZ91978.1	4
AQZ91632.1	1
AQZ90750.1	5
AQZ92503.1	2
AQZ93184.1	1
AQZ90191.1	1
AQZ90736.1	1
AQZ89668.1	9
AQZ91085.1	1
AQZ91406.1	1
AQZ91894.1	1
AQZ89498.1	1
AQZ92459.1	2
AQZ92530.1	1
AQZ89392.1	11
AQZ91004.1	11
AQZ91950.1	5
AQZ90701.1	11
AQZ89363.1	1
AQZ90337.1	1
AQZ92188.1	4
AQZ90137.1	1
AQZ91070.1	19
AQZ93247.1	21
AQZ89647.1	1
AQZ91229.1	13
AQZ92172.1	1
AQZ93136.1	2
AQZ92516.1	4
AQZ89324.1	1
AQZ92545.1	1
AQZ91117.1	1
AQZ89053.1	1
AQZ92222.1	1
AQZ89226.1	2
AQZ89463.1	1
AQZ92763.1	1
AQZ92093.1	1
AQZ89672.1	2
AQZ89486.1	2
AQZ92263.1	1
AQZ91330.1	4
AQZ91888.1	1
AQZ90551.1	1
AQZ90496.1	2
AQZ90152.1	1
AQZ92106.1	1
AQZ92654.1	2
AQZ91126.1	8
AQZ89591.1	1
AQZ92913.1	1
AQZ91180.1	4
AQZ90768.1	1
AQZ88996.1	2
AQZ88918.1	4
AQZ92247.1	3
AQZ90791.1	2
AQZ90590.1	1
AQZ92655.1	1
AQZ92418.1	2
AQZ90871.1	1
AQZ90306.1	10
AQZ89872.1	2
AQZ91411.1	1
AQZ92927.1	5
AQZ90005.1	2
AQZ91248.1	1
AQZ89919.1	1
AQZ90492.2	1
AQZ92385.1	1
AQZ90039.1	1
AQZ92879.1	1
AQZ92327.1	2
AQZ91819.1	2
AQZ92606.1	1
AQZ92200.1	1
AQZ89326.1	2
AQZ92466.1	13
AQZ92689.1	2
AQZ91910.1	1
AQZ93233.1	8
AQZ88974.1	4
AQZ89202.1	2
AQZ91124.1	4
AQZ90535.1	1
AQZ92601.1	1
AQZ91261.1	1
AQZ91656.1	1
AQZ91018.1	11
AQZ92543.1	2
AQZ89481.1	11
AQZ89767.1	1
AQZ93026.1	2
AQZ89628.1	1
AQZ91864.1	1
AQZ89892.1	8
AQZ92136.1	1
AQZ93219.1	21
AQZ90833.1	2
AQZ89728.1	2
AQZ91013.1	11
AQZ91551.1	1
AQZ92951.1	1
AQZ89631.1	1
AQZ90177.1	1
AQZ89191.1	1
AQZ93169.1	4
AQZ89785.1	1
AQZ90130.1	1
AQZ91973.1	1
AQZ90182.1	1
AQZ91837.1	1
AQZ89371.1	1
AQZ90897.1	12
AQZ89583.1	2
AQZ92831.1	1
AQZ90093.1	1
AQZ90356.1	9
AQZ91667.1	1
AQZ93040.1	1
AQZ91418.1	1
AQZ90887.1	12
AQZ91956.1	2
AQZ92050.1	1
AQZ90685.1	9
AQZ92858.1	1
AQZ92015.1	1
AQZ90990.1	11
AQZ89413.1	5
AQZ88931.1	1
AQZ90121.1	1
AQZ91233.1	12
AQZ93083.1	2
AQZ91042.1	1
AQZ90102.1	1
AQZ92886.1	1
AQZ93183.1	21
AQZ90870.1	1
AQZ93242.1	1
AQZ90858.1	1
AQZ92043.1	1
AQZ89142.1	2
AQZ89128.1	11
AQZ91946.1	1
AQZ93033.1	1
AQZ92342.1	1
AQZ92088.1	1
AQZ91495.1	18
AQZ92408.1	1
AQZ92534.1	9
AQZ93217.1	21
AQZ92888.1	1
AQZ89065.1	8
AQZ93150.1	1
AQZ92821.1	2
AQZ90289.1	1
AQZ89879.1	1
AQZ90911.1	7
AQZ91382.1	1
AQZ89246.1	1
AQZ90261.1	2
AQZ92491.1	1
AQZ91571.1	18
AQZ89422.1	8
AQZ91040.1	5
AQZ91361.1	2
AQZ89858.1	12
AQZ91436.1	2
AQZ92757.1	1
AQZ91167.1	1
AQZ91299.1	1
AQZ92825.1	1
AQZ91594.1	1
AQZ89218.1	1
AQZ89441.1	1
AQZ92185.1	1
AQZ89692.1	1
AQZ89007.1	1
AQZ90142.1	2
AQZ92577.1	5
AQZ90944.1	2
AQZ90580.1	1
AQZ89539.1	1
AQZ92198.1	1
AQZ90326.1	1
AQZ89855.1	8
AQZ91112.1	1
AQZ92574.1	5
AQZ91366.1	1
AQZ88983.1	1
AQZ91942.1	1
AQZ91236.1	4
AQZ92764.1	1
AQZ92775.1	1
AQZ92797.1	2
AQZ92995.1	4
AQZ93105.1	1
AQZ91390.1	1
AQZ91510.1	2
AQZ91026.1	11
AQZ89235.1	1
AQZ89153.1	1
AQZ88994.1	1
AQZ92455.1	4
AQZ92679.1	1
AQZ89674.1	17
AQZ90229.1	1
AQZ91983.1	1
AQZ89462.1	5
AQZ92405.1	1
AQZ89723.1	1
AQZ92084.1	1
AQZ89177.1	1
AQZ90290.1	1
AQZ91865.1	2
AQZ92061.1	1
AQZ91900.1	1
AQZ91005.1	4
AQZ89111.1	1
AQZ90035.1	1
AQZ89943.1	1
AQZ92881.1	1
AQZ91543.1	1
AQZ89952.1	2
AQZ91208.1	9
AQZ90972.1	19
AQZ89233.1	1
AQZ92766.1	12
AQZ89790.1	1
AQZ91490.1	2
AQZ91232.1	17
AQZ91528.1	2
AQZ91927.1	4
AQZ91785.1	1
AQZ90341.1	4
AQZ92587.1	1
AQZ89258.1	1
AQZ92715.1	2
AQZ91025.1	11
AQZ92434.1	1
AQZ89814.1	4
AQZ92526.1	1
AQZ91494.1	2
AQZ92942.1	4
AQZ90446.1	1
AQZ92325.1	1
AQZ91846.1	1
AQZ92967.1	1
AQZ89411.1	2
AQZ91695.1	1
AQZ89980.1	2
AQZ92698.1	11
AQZ89599.1	1
AQZ91826.1	1
AQZ89839.1	1
AQZ92160.1	5
AQZ90222.1	2
AQZ90224.1	13
AQZ92148.1	1
AQZ89865.1	13
AQZ89438.1	1
AQZ90006.1	9
AQZ91952.1	1
AQZ90751.1	1
AQZ89444.1	12
AQZ88967.1	4
AQZ90966.1	12
AQZ89945.1	1
AQZ89346.1	3
AQZ92116.1	1
AQZ89588.1	1
AQZ92462.1	12
AQZ92705.1	1
AQZ89857.1	1
AQZ92473.1	4
AQZ91896.1	5
AQZ89923.1	5
AQZ92424.1	2
AQZ90743.1	2
AQZ89836.1	1
AQZ90410.1	1
AQZ90883.1	2
AQZ90634.1	5
AQZ92386.1	2
AQZ92109.1	1
AQZ91367.1	1
AQZ93239.1	21
AQZ93073.1	11
AQZ89603.1	1
AQZ90110.1	8
AQZ92596.1	1
AQZ90881.1	1
AQZ91071.1	2
AQZ91845.1	1
AQZ91602.1	1
AQZ90233.1	1
AQZ90407.1	1
AQZ92903.1	4
AQZ91872.1	1
AQZ89272.1	3
AQZ93144.1	3
AQZ89483.1	1
AQZ92417.1	4
AQZ90231.1	1
AQZ92162.1	2
AQZ93043.1	1
AQZ91739.1	1
AQZ91675.1	2
AQZ89564.1	1
AQZ90424.1	1
AQZ89822.1	1
AQZ90741.1	4
AQZ92822.1	1
AQZ91954.1	1
AQZ89290.1	1
AQZ92196.1	11
AQZ89638.1	1
AQZ89151.1	1
AQZ91789.1	5
AQZ91880.1	1
AQZ91429.1	1
AQZ93235.1	1
AQZ91812.1	1
AQZ89802.1	9
AQZ92484.1	1
AQZ89162.1	1
AQZ89634.1	1
AQZ92326.1	1
AQZ92916.1	1
AQZ89032.1	1
AQZ89806.1	4
AQZ89022.1	1
AQZ92095.1	1
AQZ91823.1	1
AQZ90066.1	5
AQZ89149.1	1
AQZ90789.1	8
AQZ90161.1	2
AQZ91760.1	2
AQZ89510.1	1
AQZ90190.1	1
AQZ90382.1	1
AQZ89950.1	1
AQZ91076.1	9
AQZ92257.1	2
AQZ90004.1	2
AQZ90596.1	1
AQZ89090.1	2
AQZ89900.1	5
AQZ90104.1	4
AQZ92029.1	8
AQZ91995.1	2
AQZ93090.1	5
AQZ89035.1	1
AQZ89559.1	1
AQZ92438.1	1
AQZ89414.1	12
AQZ92787.1	1
AQZ92760.1	1
AQZ89750.1	2
AQZ92965.1	1
AQZ91509.1	1
AQZ91243.1	2
AQZ90195.1	1
AQZ93234.1	2
AQZ90662.1	11
AQZ93006.1	2
AQZ88950.1	4
AQZ90938.1	5
AQZ91705.1	1
AQZ89351.1	1
AQZ91206.1	1
AQZ91841.1	4
AQZ92426.1	2
AQZ91907.1	1
AQZ91080.1	9
AQZ91012.1	3
AQZ90837.1	1
AQZ91480.1	2
AQZ92357.1	1
AQZ90250.1	1
AQZ89506.1	1
AQZ92852.1	1
AQZ90032.1	1
AQZ90281.1	9
AQZ92663.1	1
AQZ92297.2	1
AQZ92290.1	1
AQZ91962.1	15
AQZ90987.1	4
AQZ91668.1	4
AQZ91524.1	8
AQZ89773.1	5
AQZ93050.1	1
AQZ92493.1	1
AQZ90282.1	1
AQZ89375.1	1
AQZ89249.1	1
AQZ92688.1	1
AQZ90670.1	2
AQZ90553.1	1
AQZ92702.1	1
AQZ92682.1	1
AQZ91115.1	2
AQZ93211.1	21
AQZ90699.1	1
AQZ89117.1	1
AQZ90929.1	19
AQZ91385.1	4
AQZ89823.1	1
AQZ89935.1	1
AQZ89027.1	1
AQZ93082.1	1
AQZ90080.1	1
AQZ91190.1	1
AQZ89894.1	2
AQZ92078.1	2
AQZ92312.1	1
AQZ89445.1	1
AQZ90629.1	1
AQZ90077.1	1
AQZ90868.1	1
AQZ93220.1	1
AQZ91101.1	1
AQZ90687.1	1
AQZ92812.1	1
AQZ91709.1	1
AQZ89166.1	1
AQZ93194.1	11
AQZ93246.1	21
AQZ90817.1	1
AQZ93154.1	5
AQZ88919.1	1
AQZ91916.1	1
AQZ90029.1	1
